collision_id,type,species,threshold_eV,energy_eV,cross_section_m2
C1,ELASTIC,Ar,1.36e-05,0.0,7.05e-20
C1,ELASTIC,Ar,1.36e-05,0.0001,7.05e-20
C1,ELASTIC,Ar,1.36e-05,0.0004,7.05e-20
C1,ELASTIC,Ar,1.36e-05,0.0009,7.05e-20
C1,ELASTIC,Ar,1.36e-05,0.0016,7.2e-20
C1,ELASTIC,Ar,1.36e-05,0.0025,7.3e-20
C1,ELASTIC,Ar,1.36e-05,0.0036,7.2e-20
C1,ELASTIC,Ar,1.36e-05,0.0049,7e-20
C1,ELASTIC,Ar,1.36e-05,0.0064,6.5e-20
C1,ELASTIC,Ar,1.36e-05,0.0081,6e-20
C1,ELASTIC,Ar,1.36e-05,0.0103,5e-20
C1,ELASTIC,Ar,1.36e-05,0.0144,3.9e-20
C1,ELASTIC,Ar,1.36e-05,0.0221,3.12e-20
C1,ELASTIC,Ar,1.36e-05,0.0324,2.44e-20
C1,ELASTIC,Ar,1.36e-05,0.04,2.05e-20
C1,ELASTIC,Ar,1.36e-05,0.0484,1.72e-20
C1,ELASTIC,Ar,1.36e-05,0.0651,1.23e-20
C1,ELASTIC,Ar,1.36e-05,0.0786,9.44e-21
C1,ELASTIC,Ar,1.36e-05,0.103,5.88e-21
C1,ELASTIC,Ar,1.36e-05,0.1156,4.56e-21
C1,ELASTIC,Ar,1.36e-05,0.15,2.33e-21
C1,ELASTIC,Ar,1.36e-05,0.2,1.01e-21
C1,ELASTIC,Ar,1.36e-05,0.25,9.1e-22
C1,ELASTIC,Ar,1.36e-05,0.3,1.51e-21
C1,ELASTIC,Ar,1.36e-05,0.35,2.43e-21
C1,ELASTIC,Ar,1.36e-05,0.42,3.54e-21
C1,ELASTIC,Ar,1.36e-05,0.5,5.04e-21
C1,ELASTIC,Ar,1.36e-05,0.6,6.96e-21
C1,ELASTIC,Ar,1.36e-05,0.7,8.78e-21
C1,ELASTIC,Ar,1.36e-05,0.85,1.13e-20
C1,ELASTIC,Ar,1.36e-05,1.0,1.37e-20
C1,ELASTIC,Ar,1.36e-05,1.1,1.51e-20
C1,ELASTIC,Ar,1.36e-05,1.2,1.66e-20
C1,ELASTIC,Ar,1.36e-05,1.3,1.79e-20
C1,ELASTIC,Ar,1.36e-05,1.4,1.92e-20
C1,ELASTIC,Ar,1.36e-05,1.5,2.05e-20
C1,ELASTIC,Ar,1.36e-05,1.6,2.19e-20
C1,ELASTIC,Ar,1.36e-05,1.7,2.33e-20
C1,ELASTIC,Ar,1.36e-05,1.8,2.45e-20
C1,ELASTIC,Ar,1.36e-05,1.9,2.58e-20
C1,ELASTIC,Ar,1.36e-05,2.0,2.7e-20
C1,ELASTIC,Ar,1.36e-05,2.2,2.99e-20
C1,ELASTIC,Ar,1.36e-05,2.6,3.58e-20
C1,ELASTIC,Ar,1.36e-05,2.8,3.89e-20
C1,ELASTIC,Ar,1.36e-05,3.0,4.2e-20
C1,ELASTIC,Ar,1.36e-05,3.3,4.65e-20
C1,ELASTIC,Ar,1.36e-05,3.6,5.1e-20
C1,ELASTIC,Ar,1.36e-05,4.0,5.8e-20
C1,ELASTIC,Ar,1.36e-05,4.5,6.5e-20
C1,ELASTIC,Ar,1.36e-05,4.9,7e-20
C1,ELASTIC,Ar,1.36e-05,5.2,7.5e-20
C1,ELASTIC,Ar,1.36e-05,5.6,8.1e-20
C1,ELASTIC,Ar,1.36e-05,6.4,9.2e-20
C1,ELASTIC,Ar,1.36e-05,8.0,1.17e-19
C1,ELASTIC,Ar,1.36e-05,10.0,1.38e-19
C1,ELASTIC,Ar,1.36e-05,14.0,1.4e-19
C1,ELASTIC,Ar,1.36e-05,18.0,1.15e-19
C1,ELASTIC,Ar,1.36e-05,20.0,1.04e-19
C1,ELASTIC,Ar,1.36e-05,25.0,7.5e-20
C1,ELASTIC,Ar,1.36e-05,35.0,4.6e-20
C1,ELASTIC,Ar,1.36e-05,40.0,3.8e-20
C1,ELASTIC,Ar,1.36e-05,42.0,3.5e-20
C1,ELASTIC,Ar,1.36e-05,50.0,2.7e-20
C1,ELASTIC,Ar,1.36e-05,56.0,2.2e-20
C1,ELASTIC,Ar,1.36e-05,75.0,1.35e-20
C1,ELASTIC,Ar,1.36e-05,100.0,8e-21
C1,ELASTIC,Ar,1.36e-05,150.0,4e-21
C2,EXCITATION,Ar,11.548,11.548,0.0
C2,EXCITATION,Ar,11.548,11.6,1.75e-23
C2,EXCITATION,Ar,11.548,11.7,4.96e-23
C2,EXCITATION,Ar,11.548,11.8,7.95e-23
C2,EXCITATION,Ar,11.548,11.9,1.07e-22
C2,EXCITATION,Ar,11.548,12.0,1.33e-22
C2,EXCITATION,Ar,11.548,12.1,1.58e-22
C2,EXCITATION,Ar,11.548,12.2,1.8e-22
C2,EXCITATION,Ar,11.548,12.3,2.01e-22
C2,EXCITATION,Ar,11.548,12.4,2.21e-22
C2,EXCITATION,Ar,11.548,12.5,2.39e-22
