process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C1 Ar Elastic,2.4075,3.41355e-14,1.0
C1 Ar Elastic,3.52837,6.1642e-14,2.18787
C1 Ar Elastic,5.08509,1.06492e-13,5.75149
C1 Ar Elastic,5.39609,1.15594e-13,11.6908
C1 Ar Elastic,5.62479,1.21721e-13,20.0059
C1 Ar Elastic,5.85972,1.27744e-13,30.6968
C1 Ar Elastic,6.09482,1.33518e-13,43.7634
C1 Ar Elastic,6.32848,1.38978e-13,59.2057
C1 Ar Elastic,6.56248,1.44143e-13,77.0238
C1 Ar Elastic,6.80014,1.49071e-13,97.2176
C1 Ar Elastic,7.04422,1.53798e-13,119.787
C1 Ar Elastic,7.29691,1.58343e-13,144.732
C1 Ar Elastic,7.56043,1.62723e-13,172.054
C1 Ar Elastic,7.83628,1.6694e-13,201.75
C1 Ar Elastic,8.12637,1.70997e-13,233.823
C1 Ar Elastic,8.43263,1.74898e-13,268.271
C1 Ar Elastic,8.756,1.78613e-13,305.095
C1 Ar Elastic,9.09866,1.82144e-13,344.295
C1 Ar Elastic,9.46271,1.8548e-13,385.87
C1 Ar Elastic,9.84924,1.88597e-13,429.822
C1 Ar Elastic,10.2604,1.91479e-13,476.149
C1 Ar Elastic,10.6991,1.94114e-13,524.851
C1 Ar Elastic,11.1681,1.965e-13,575.93
C1 Ar Elastic,11.6671,1.98586e-13,629.384
C1 Ar Elastic,12.2021,2.00392e-13,685.214
C1 Ar Elastic,12.7745,2.01883e-13,743.42
C1 Ar Elastic,13.3861,2.03088e-13,804.001
C1 Ar Elastic,14.0422,2.03999e-13,866.958
C1 Ar Elastic,14.7433,2.04584e-13,932.291
C1 Ar Elastic,15.4923,2.0487e-13,1000.0
C2 Ar Excitation 11.55 eV,2.4075,0.0,1.0
C2 Ar Excitation 11.55 eV,3.52837,1.08147e-23,2.18787
C2 Ar Excitation 11.55 eV,5.08509,7.92627e-19,5.75149
C2 Ar Excitation 11.55 eV,5.39609,5.21343e-18,11.6908
C2 Ar Excitation 11.55 eV,5.62479,1.30507e-17,20.0059
C2 Ar Excitation 11.55 eV,5.85972,2.37086e-17,30.6968
C2 Ar Excitation 11.55 eV,6.09482,3.64737e-17,43.7634
C2 Ar Excitation 11.55 eV,6.32848,5.07592e-17,59.2057
C2 Ar Excitation 11.55 eV,6.56248,6.61046e-17,77.0238
C2 Ar Excitation 11.55 eV,6.80014,8.22203e-17,97.2176
C2 Ar Excitation 11.55 eV,7.04422,9.88788e-17,119.787
C2 Ar Excitation 11.55 eV,7.29691,1.159e-16,144.732
C2 Ar Excitation 11.55 eV,7.56043,1.33139e-16,172.054
C2 Ar Excitation 11.55 eV,7.83628,1.50432e-16,201.75
C2 Ar Excitation 11.55 eV,8.12637,1.67674e-16,233.823
C2 Ar Excitation 11.55 eV,8.43263,1.84772e-16,268.271
C2 Ar Excitation 11.55 eV,8.756,2.01619e-16,305.095
C2 Ar Excitation 11.55 eV,9.09866,2.18145e-16,344.295
C2 Ar Excitation 11.55 eV,9.46271,2.34296e-16,385.87
C2 Ar Excitation 11.55 eV,9.84924,2.4994e-16,429.822
C2 Ar Excitation 11.55 eV,10.2604,2.65001e-16,476.149
C2 Ar Excitation 11.55 eV,10.6991,2.79459e-16,524.851
C2 Ar Excitation 11.55 eV,11.1681,2.93236e-16,575.93
C2 Ar Excitation 11.55 eV,11.6671,3.06114e-16,629.384
C2 Ar Excitation 11.55 eV,12.2021,3.18186e-16,685.214
C2 Ar Excitation 11.55 eV,12.7745,3.2927e-16,743.42
C2 Ar Excitation 11.55 eV,13.3861,3.39349e-16,804.001
C2 Ar Excitation 11.55 eV,14.0422,3.48508e-16,866.958
C2 Ar Excitation 11.55 eV,14.7433,3.5652e-16,932.291
C2 Ar Excitation 11.55 eV,15.4923,3.63468e-16,1000.0
C3 Ar Excitation 11.62 eV,2.4075,0.0,1.0
C3 Ar Excitation 11.62 eV,3.52837,1.42847e-24,2.18787
C3 Ar Excitation 11.62 eV,5.08509,1.54249e-19,5.75149
C3 Ar Excitation 11.62 eV,5.39609,1.24493e-18,11.6908
C3 Ar Excitation 11.62 eV,5.62479,3.60128e-18,20.0059
C3 Ar Excitation 11.62 eV,5.85972,7.37239e-18,30.6968
C3 Ar Excitation 11.62 eV,6.09482,1.26245e-17,43.7634
C3 Ar Excitation 11.62 eV,6.32848,1.94064e-17,59.2057
C3 Ar Excitation 11.62 eV,6.56248,2.77652e-17,77.0238
