mean_energy_eV,EoverN_Td,Grid type,Maximum energy,Mean energy (eV),Mobility *N (1/m/V/s),Diffusion coefficient *N (1/m/s),Energy mobility *N (1/m/V/s),Energy diffusion coef. *N (1/m/s),Total collision freq. /N (m3/s),Momentum frequency /N (m3/s),Total ionization freq. /N (m3/s),Townsend ioniz. coef. alpha/N (m2),Power /N (eV m3/s),Elastic power loss /N (eV m3/s),Inelastic power loss /N (eV m3/s),Growth power /N (eV m3/s),Maximum energy #17,# of iterations,# of grid trials,Error code,Inelastic energy loss coefficient (eV m3/s)
2.4075,1.0,0.0,-1.0,2.4075,2.95787e+24,1.19142e+25,4.42294e+24,8.95979e+24,3.41355e-14,5.94623e-14,0.0,0.0,2.95787e-18,2.9592e-18,-2.29324e-208,0.0,8.97958,4.0,1.0,0.0,0.0
3.52837,2.18787,3.0,8.97958,3.52837,1.6462e+24,9.56131e+24,2.46424e+24,7.21104e+24,6.1642e-14,1.06841e-13,0.0,0.0,7.87999e-18,7.88474e-18,1.63407e-22,0.0,14.8112,20.0,4.0,0.0,1.63411e-22
5.08509,5.75149,3.0,14.8112,5.08509,1.06536e+24,7.87973e+24,1.49164e+24,5.95781e+24,1.06493e-13,1.65091e-13,2.95304e-27,4.81938e-31,3.52418e-17,1.97901e-17,1.54551e-17,1.50171e-26,17.4491,13.0,2.0,0.0,1.54555e-17
5.39609,11.6908,3.0,17.4491,5.39609,1.08154e+24,7.78039e+24,1.42342e+24,5.81749e+24,1.15605e-13,1.62622e-13,3.17696e-22,2.5126e-26,1.47821e-16,2.31598e-17,1.24658e-16,1.71441e-21,20.5204,13.0,2.0,0.0,1.24661e-16
5.62479,20.0059,3.0,20.5204,5.62479,1.04176e+24,7.65739e+24,1.37024e+24,5.74064e+24,1.21754e-13,1.68831e-13,4.6621e-20,2.23693e-24,4.16953e-16,2.55112e-17,3.91174e-16,2.62253e-19,24.0963,12.0,2.0,0.0,3.91186e-16
5.85972,30.6968,3.0,24.0963,5.85972,9.93762e+23,7.51887e+24,1.31859e+24,5.67622e+24,1.27819e-13,1.76986e-13,7.35499e-19,2.41105e-23,9.36415e-16,2.78824e-17,9.04218e-16,4.31013e-18,24.0963,6.0,1.0,0.0,9.04245e-16
6.09482,43.7634,3.0,24.0963,6.09482,9.51099e+23,7.39097e+24,1.27354e+24,5.62598e+24,1.3366e-13,1.84925e-13,4.3225e-18,1.03848e-22,1.82158e-15,3.02697e-17,1.76496e-15,2.63473e-17,28.2597,11.0,2.0,0.0,1.76501e-15
6.32848,59.2057,3.0,28.2597,6.32848,9.15236e+23,7.26727e+24,1.23545e+24,5.59005e+24,1.3922e-13,1.92171e-13,1.50788e-17,2.78272e-22,3.20819e-15,3.26627e-17,3.08008e-15,9.54367e-17,33.1072,11.0,2.0,0.0,3.08018e-15
6.56248,77.0238,3.0,33.1072,6.56248,8.84479e+23,7.14065e+24,1.20296e+24,5.56665e+24,1.44526e-13,1.98854e-13,3.86728e-17,5.67667e-22,5.24732e-15,3.50713e-17,4.95846e-15,2.53825e-16,38.7511,11.0,2.0,0.0,4.95862e-15
6.80014,97.2176,3.0,38.7511,6.80014,8.57477e+23,7.00727e+24,1.17511e+24,5.55627e+24,1.49642e-13,2.05116e-13,8.14378e-17,9.76919e-22,8.10424e-15,3.75208e-17,7.51296e-15,5.53881e-16,45.3223,12.0,2.0,0.0,7.51321e-15
7.04422,119.787,3.0,45.3223,7.04422,8.32923e+23,6.87171e+24,1.15065e+24,5.55839e+24,1.54612e-13,2.11162e-13,1.49885e-16,1.50225e-21,1.19516e-14,4.00289e-17,1.08557e-14,1.05603e-15,52.9732,12.0,2.0,0.0,1.08561e-14
7.29691,144.732,3.0,52.9732,7.29691,8.10393e+23,6.73742e+24,1.12927e+24,5.57411e+24,1.59462e-13,2.17033e-13,2.5066e-16,2.13709e-21,1.69757e-14,4.26086e-17,1.51041e-14,1.82939e-15,52.9732,6.0,1.0,0.0,1.51046e-14
7.56043,172.054,3.0,52.9732,7.56043,7.89534e+23,6.61597e+24,1.11048e+24,5.60508e+24,1.64216e-13,2.22767e-13,3.90437e-16,2.8742e-21,2.33721e-14,4.52762e-17,2.03751e-14,2.95253e-15,61.8811,14.0,2.0,0.0,2.03758e-14
7.83628,201.75,3.0,61.8811,7.83628,7.69988e+23,6.5071e+24,1.09374e+24,5.65129e+24,1.68884e-13,2.28422e-13,5.75814e-16,3.70668e-21,3.13409e-14,4.80385e-17,2.67809e-14,4.51341e-15,72.2525,14.0,2.0,0.0,2.67819e-14
8.12637,233.823,3.0,72.2525,8.12637,7.51791e+23,6.41189e+24,1.07894e+24,5.71443e+24,1.73476e-13,2.33951e-13,8.1357e-16,4.62819e-21,4.11027e-14,5.09082e-17,3.44406e-14,6.61335e-15,84.328,14.0,2.0,0.0,3.44419e-14
8.43263,268.271,3.0,84.328,8.43263,7.34903e+23,6.33378e+24,1.06586e+24,5.79691e+24,1.78005e-13,2.39327e-13,1.11055e-15,5.63294e-21,5.28905e-14,5.38984e-17,4.34719e-14,9.36812e-15,98.3875,14.0,2.0,0.0,4.34735e-14
8.756,305.095,3.0,98.3875,8.756,7.19381e+23,6.27024e+24,1.05465e+24,5.9002e+24,1.82447e-13,2.44491e-13,1.47395e-15,6.71566e-21,6.69621e-14,5.70113e-17,5.39989e-14,1.2911e-14,114.757,14.0,2.0,0.0,5.40011e-14
